Date,Hashrate,MVRV
2017-10-13,8998741.617179533,2.732732074829539
2017-10-14,9449748.553953856,2.732732074829539
2017-10-15,9900755.490728177,3.097675468560592
2017-10-16,10351762.4275025,3.097675468560592
2017-10-17,10426128.5368955,3.097675468560592
2017-10-18,10500494.6462885,3.015256245795957
2017-10-19,10574860.7556815,3.015256245795957
2017-10-20,10649226.8650745,3.015256245795957
2017-10-21,10470748.202531341,3.015256245795957
2017-10-22,10292269.53998818,3.0479278306945643
2017-10-23,10113790.87744502,3.0479278306945643
2017-10-24,9935312.21490186,3.0479278306945643
2017-10-25,8986181.625612823,2.9289542135645954
2017-10-26,8037051.036323786,2.9289542135645954
2017-10-27,7087920.447034747,2.9289542135645954
2017-10-28,6138789.85774571,2.9153888676017976
2017-10-29,6572116.200645408,2.9153888676017976
2017-10-30,7005442.543545105,2.9153888676017976
2017-10-31,7438768.886444802,2.9153888676017976
2017-11-01,7872095.2293445,2.989477659196237
2017-11-02,8449863.6865441,2.989477659196237
2017-11-03,9027632.143743701,2.989477659196237
2017-11-04,9605400.6009433,2.989477659196237
2017-11-05,10183169.0581429,3.3432461731045398
2017-11-06,10399832.22959275,3.3432461731045398
2017-11-07,10616495.4010426,3.3432461731045398
2017-11-08,10833158.57249245,3.3432461731045398
2017-11-09,11049821.7439423,3.221922633041319
2017-11-10,10661268.94190377,3.221922633041319
2017-11-11,10272716.13986524,3.221922633041319
2017-11-12,9884163.33782671,3.221922633041319
2017-11-13,9495610.53578818,3.221922633041319
2017-11-14,9953434.61519226,2.596993243435896
2017-11-15,10411258.694596339,2.596993243435896
2017-11-16,10869082.77400042,2.596993243435896
2017-11-17,11326906.8534045,2.596993243435896
2017-11-18,11428645.5377165,3.095512298806626
2017-11-19,11530384.2220285,3.095512298806626
2017-11-20,11632122.906340498,3.095512298806626
2017-11-21,11733861.5906525,3.140364019496809
2017-11-22,11411828.56086625,3.140364019496809
2017-11-23,11089795.53108,3.140364019496809
2017-11-24,10767762.50129375,3.0928341605477536
2017-11-25,10445729.4715075,3.0928341605477536
2017-11-26,10730308.639801776,3.0928341605477536
2017-11-27,11014887.808096051,3.0928341605477536
2017-11-28,11299466.976390325,3.419993795246981
2017-11-29,11584046.1446846,3.419993795246981
2017-11-30,11634265.997913,3.419993795246981
2017-12-01,11684485.8511414,3.378671336670465
2017-12-02,11734705.7043698,3.378671336670465
2017-12-03,11784925.5575982,3.378671336670465
2017-12-04,11824111.9672608,3.6867129923083546
2017-12-05,11863298.3769234,3.6867129923083546
2017-12-06,11902484.786586,3.6867129923083546
2017-12-07,11941671.1962486,3.871672476449653
2017-12-08,12337090.772283325,3.871672476449653
2017-12-09,12732510.34831805,3.871672476449653
2017-12-10,13127929.924352774,3.871672476449653
2017-12-11,13523349.5003875,3.964538871186137
2017-12-12,13483807.542784024,3.964538871186137
2017-12-13,13444265.58518055,3.964538871186137
2017-12-14,13404723.627577076,4.259366926754116
2017-12-15,13365181.6699736,4.259366926754116
2017-12-16,13282826.490109202,4.259366926754116
2017-12-17,13200471.3102448,4.154101614722976
2017-12-18,13118116.1303804,4.154101614722976
2017-12-19,13035760.950516,4.154101614722976
2017-12-20,13012482.8059615,4.106020824774781
2017-12-21,12989204.661407001,4.106020824774781
2017-12-22,12965926.5168525,4.106020824774781
2017-12-23,12942648.372298,4.106020824774781
2017-12-24,13338376.829724375,2.976814369674841
2017-12-25,13734105.28715075,2.976814369674841
2017-12-26,14129833.744577125,2.976814369674841
2017-12-27,14525562.2020035,2.976814369674841
2017-12-28,14688509.21388495,3.304503483864242
2017-12-29,14851456.2257664,3.304503483864242
2017-12-30,15014403.23764785,3.304503483864242
2017-12-31,15177350.2495293,2.73580765370018
2018-01-01,15414899.868601525,2.73580765370018
2018-01-02,15652449.48767375,2.73580765370018
2018-01-03,15889999.106745975,2.73580765370018
2018-01-04,16127548.7258182,2.856275893202676
2018-01-05,16079550.068896126,2.856275893202676
2018-01-06,16031551.41197405,2.856275893202676
2018-01-07,15983552.755051974,3.2239159267669195
2018-01-08,15935554.0981299,3.2239159267669195
2018-01-09,16223546.03966235,3.2239159267669195
2018-01-10,16511537.981194802,2.821916019017181
2018-01-11,16799529.92272725,2.821916019017181
2018-01-12,17087521.8642597,2.821916019017181
2018-01-13,17217830.94364255,2.5672964240314338
2018-01-14,17348140.0230254,2.5672964240314338
2018-01-15,17478449.102408253,2.5672964240314338
2018-01-16,17608758.1817911,2.5672964240314338
2018-01-17,18134805.989108775,2.454786910150368
2018-01-18,18660853.796426453,2.454786910150368
2018-01-19,19186901.603744127,2.454786910150368
2018-01-20,19712949.4110618,2.163291570200341
2018-01-21,19657575.957659926,2.163291570200341
2018-01-22,19602202.50425805,2.163291570200341
2018-01-23,19546829.050856173,2.1138272996628604
2018-01-24,19491455.5974543,2.1138272996628604
2018-01-25,19729878.839284625,2.1138272996628604
2018-01-26,19968302.081114948,2.1138272996628604
2018-01-27,20206725.322945274,2.12198182703806
2018-01-28,20445148.5647756,2.12198182703806
2018-01-29,20509848.4020059,2.12198182703806
2018-01-30,20574548.2392362,2.134786269764452
2018-01-31,20639248.0764665,2.134786269764452
2018-02-01,20703947.9136968,2.134786269764452
2018-02-02,21512695.8790756,2.134786269764452
2018-02-03,22321443.8444544,1.7216038656198789
2018-02-04,23130191.8098332,1.7216038656198789
2018-02-05,23938939.775212,1.7216038656198789
2018-02-06,22777107.8874505,1.5641647147391258
2018-02-07,21615275.999688998,1.5641647147391258
2018-02-08,20453444.111927498,1.5641647147391258
2018-02-09,19291612.224166,1.5686838896911806
2018-02-10,20327643.251019374,1.5686838896911806
2018-02-11,21363674.27787275,1.5686838896911806
2018-02-12,22399705.304726124,1.5686838896911806
2018-02-13,23435736.3315795,1.638157324763482
2018-02-14,22899858.21424155,1.638157324763482
2018-02-15,22363980.0969036,1.638157324763482
2018-02-16,21828101.97956565,1.8914900772212264
2018-02-17,21292223.8622277,1.8914900772212264
2018-02-18,22285452.603350077,1.8914900772212264
2018-02-19,23278681.344472453,1.8914900772212264
2018-02-20,24271910.085594825,2.0448792543811285
2018-02-21,25265138.8267172,2.0448792543811285
2018-02-22,25339887.7581572,2.0448792543811285
2018-02-23,25414636.6895972,1.9577212563288588
2018-02-24,25489385.6210372,1.9577212563288588
2018-02-25,25564134.5524772,1.9577212563288588
2018-02-26,25339887.758157223,1.9577212563288588
2018-02-27,25115640.96383725,1.7906612789067249
2018-02-28,24891394.169517275,1.7906612789067249
2018-03-01,24667147.3751973,1.7906612789067249
2018-03-02,24593600.464132197,1.9977856683643975
2018-03-03,24520053.5530671,1.9977856683643975
2018-03-04,24446506.642002,1.9977856683643975
2018-03-05,24372959.7309369,1.9977856683643975
2018-03-06,24250277.047727473,2.109336932539415
2018-03-07,24127594.36451805,2.109336932539415
2018-03-08,24004911.681308627,2.109336932539415
2018-03-09,23882228.9980992,1.805357201899748
2018-03-10,24372959.73093685,1.805357201899748
2018-03-11,24863690.463774502,1.805357201899748
2018-03-12,25354421.19661215,1.805357201899748
2018-03-13,25845151.9294498,1.7883314372274723
2018-03-14,25477103.879821576,1.7883314372274723
2018-03-15,25109055.83019335,1.7883314372274723
2018-03-16,24741007.780565124,1.7883314372274723
2018-03-17,24372959.7309369,1.523371088308986
2018-03-18,24820428.6012675,1.523371088308986
2018-03-19,25267897.4715981,1.523371088308986
2018-03-20,25715366.341928698,1.5361317105051346
2018-03-21,26162835.2122593,1.5361317105051346
2018-03-22,25431308.569811277,1.5361317105051346
2018-03-23,24699781.92736325,1.5361317105051346
2018-03-24,23968255.284915224,1.6134886898021266
2018-03-25,23236728.6424672,1.6134886898021266
2018-03-26,23968255.284915224,1.6134886898021266
2018-03-27,24699781.92736325,1.6134886898021266
2018-03-28,25431308.569811277,1.5244983977374975
2018-03-29,26162835.2122593,1.5244983977374975
2018-03-30,26429021.31324655,1.5244983977374975
2018-03-31,26695207.4142338,1.3137808997162486
2018-04-01,26961393.515221052,1.3137808997162486
2018-04-02,27227579.6162083,1.3137808997162486
2018-04-03,26442168.66574075,1.3137808997162486
2018-04-04,25656757.7152732,1.3675598300882743
2018-04-05,24871346.76480565,1.3675598300882743
2018-04-06,24085935.8143381,1.3675598300882743
2018-04-07,25220418.298346773,1.3675598300882743
2018-04-08,26354900.78235545,1.2749008368467571
2018-04-09,27489383.266364127,1.2749008368467571
2018-04-10,28623865.7503728,1.2749008368467571
2018-04-11,28004630.942647725,1.2992839445602016
2018-04-12,27385396.13492265,1.2992839445602016
2018-04-13,26766161.327197574,1.2992839445602016
2018-04-14,26146926.5194725,1.544279607404919
2018-04-15,27244334.019377373,1.544279607404919
2018-04-16,28341741.51928225,1.544279607404919
2018-04-17,29439149.019187126,1.544279607404919
2018-04-18,30536556.519092,1.5496972995198153
2018-04-19,30536556.519092,1.5496972995198153
2018-04-20,30536556.519092,1.5496972995198153
2018-04-21,30536556.519092,1.6111651906638582
2018-04-22,30536556.519092,1.6111651906638582
2018-04-23,29630002.49743145,1.6111651906638582
2018-04-24,28723448.4757709,1.6111651906638582
2018-04-25,27816894.45411035,1.7265167127309176
2018-04-26,26910340.4324498,1.7265167127309176
2018-04-27,27930339.149758548,1.7265167127309176
2018-04-28,28950337.8670673,1.7265167127309176
2018-04-29,29970336.584376052,1.7486168912912006
2018-04-30,30990335.3016848,1.7486168912912006
2018-05-01,30140600.301477324,1.7486168912912006
2018-05-02,29290865.30126985,1.7080116600357402
2018-05-03,28441130.301062375,1.7080116600357402
2018-05-04,27591395.3008549,1.7080116600357402
2018-05-05,27641379.7126318,1.7080116600357402
2018-05-06,27691364.1244087,1.84790096388775
2018-05-07,27741348.5361856,1.84790096388775
2018-05-08,27791332.9479625,1.84790096388775
2018-05-09,29340724.008035026,1.84790096388775
2018-05-10,30890115.06810755,1.7324205322633688
2018-05-11,32439506.12818007,1.7324205322633688
2018-05-12,33988897.1882526,1.7324205322633688
2018-05-13,34709873.79527612,1.5910099553700845
2018-05-14,35430850.40229965,1.5910099553700845
2018-05-15,36151827.00932318,1.5910099553700845
2018-05-16,36872803.6163467,1.5910099553700845
2018-05-17,35070362.09878785,1.56595442380717
2018-05-18,33267920.581229,1.56595442380717
2018-05-19,31465479.06367015,1.56595442380717
2018-05-20,29663037.5461113,1.56595442380717
2018-05-21,29901339.739169825,1.549437068846493
2018-05-22,30139641.93222835,1.549437068846493
2018-05-23,30377944.125286877,1.549437068846493
2018-05-24,30616246.3183454,1.4714496677109636
2018-05-25,31312070.098307803,1.4714496677109636
2018-05-26,32007893.8782702,1.4714496677109636
2018-05-27,32703717.6582326,1.4714496677109636
2018-05-28,33399541.438195,1.4023104291871609
2018-05-29,33934790.499704525,1.4023104291871609
2018-05-30,34470039.56121405,1.4023104291871609
2018-05-31,35005288.62272357,1.411494654314199
2018-06-01,35540537.6842331,1.411494654314199
2018-06-02,37400568.2890357,1.411494654314199
2018-06-03,39260598.8938383,1.4315169551586024
2018-06-04,41120629.4986409,1.4315169551586024
2018-06-05,42980660.1034435,1.4315169551586024
2018-06-06,41015829.9272861,1.4315169551586024
2018-06-07,39050999.7511287,1.4170223282473815
2018-06-08,37086169.5749713,1.4170223282473815
2018-06-09,35121339.3988139,1.4170223282473815
2018-06-10,35121339.3988139,1.4446133986291485
2018-06-11,35121339.3988139,1.4446133986291485
2018-06-12,35121339.3988139,1.4446133986291485
2018-06-13,35121339.3988139,1.4446133986291485
2018-06-14,35980952.600882754,1.2429116896918826
2018-06-15,36840565.802951604,1.2429116896918826
2018-06-16,37700179.00502045,1.2429116896918826
2018-06-17,38559792.2070893,1.2429116896918826
2018-06-18,39647007.6132078,1.2399785812025232
2018-06-19,40734223.0193263,1.2399785812025232
2018-06-20,41821438.4254448,1.2399785812025232
2018-06-21,42908653.8315633,1.2774568649607596
2018-06-22,42088341.33184223,1.2774568649607596
2018-06-23,41268028.83212115,1.2774568649607596
2018-06-24,40447716.332400076,1.2774568649607596
2018-06-25,39627403.832679,1.1809534940941535
2018-06-26,39248798.06357698,1.1809534940941535
2018-06-27,38870192.29447495,1.1809534940941535
2018-06-28,38491586.52537292,1.180343303314724
2018-06-29,38112980.7562709,1.180343303314724
2018-06-30,36317002.74048205,1.180343303314724
2018-07-01,34521024.7246932,1.180343303314724
2018-07-02,32725046.70890435,1.2396237706085111
2018-07-03,30929068.6931155,1.2396237706085111
2018-07-04,33595367.71838407,1.2396237706085111
2018-07-05,36261666.74365265,1.2396237706085111
2018-07-06,38927965.768921226,1.293929914242402
2018-07-07,41594264.7941898,1.293929914242402
2018-07-08,40194457.805923805,1.293929914242402
2018-07-09,38794650.8176578,1.3184401729952382
2018-07-10,37394843.8293918,1.3184401729952382
2018-07-11,35995036.8411258,1.3184401729952382
2018-07-12,35861721.88986237,1.3184401729952382
2018-07-13,35728406.938598946,1.2268302560627036
2018-07-14,35595091.987335525,1.2268302560627036
2018-07-15,35461777.0360721,1.2268302560627036
2018-07-16,37601599.30543185,1.2268302560627036
2018-07-17,39741421.574791595,1.2732111956346448
2018-07-18,41881243.84415135,1.2732111956346448
2018-07-19,44021066.1135111,1.2732111956346448
2018-07-20,43699274.694552675,1.2732111956346448
2018-07-21,43377483.27559425,1.4587172129167725
2018-07-22,43055691.856635824,1.4587172129167725
2018-07-23,42733900.4376774,1.4587172129167725
2018-07-24,42798258.721469074,1.4917451451982058
2018-07-25,42862617.00526075,1.4917451451982058
2018-07-26,42926975.28905243,1.4917451451982058
2018-07-27,42991333.5728441,1.6066460296062892
2018-07-28,43112244.173490554,1.6066460296062892
2018-07-29,43233154.774137005,1.6066460296062892
2018-07-30,43354065.37478345,1.6066460296062892
2018-07-31,43474975.9754299,1.597202843181682
2018-08-01,45619149.960614875,1.597202843181682
2018-08-02,47763323.94579985,1.597202843181682
2018-08-03,49907497.930984825,1.597202843181682
2018-08-04,52051671.9161698,1.477814882826593
2018-08-05,50646868.27070498,1.477814882826593
2018-08-06,49242064.62524015,1.477814882826593
2018-08-07,47837260.979775324,1.3731713881896268
2018-08-08,46432457.3343105,1.3731713881896268
2018-08-09,47131911.27058828,1.3731713881896268
2018-08-10,47831365.206866056,1.2539435805210994
2018-08-11,48530819.143143825,1.2539435805210994
2018-08-12,49230273.0794216,1.2539435805210994
2018-08-13,49468484.078193,1.2539435805210994
2018-08-14,49706695.0769644,1.2422592204134395
2018-08-15,49944906.0757358,1.2422592204134395
2018-08-16,50183117.0745072,1.2422592204134395
2018-08-17,49547887.74445015,1.2515640906396233
2018-08-18,48912658.4143931,1.2515640906396233
2018-08-19,48277429.08433605,1.2515640906396233
2018-08-20,47642199.754279,1.2515640906396233
2018-08-21,47534554.1758844,1.2718559425578624
2018-08-22,47426908.597489804,1.2718559425578624
2018-08-23,47319263.0190952,1.2718559425578624
2018-08-24,47211617.4407006,1.2683295179865788
2018-08-25,48199979.42296645,1.2683295179865788
2018-08-26,49188341.405232295,1.2683295179865788
2018-08-27,50176703.38749815,1.2683295179865788
2018-08-28,51165065.369764,1.3166785998920585
2018-08-29,50997859.2737844,1.3166785998920585
2018-08-30,50830653.1778048,1.3166785998920585
2018-08-31,50663447.081825204,1.3618108369898774
2018-09-01,50496240.9858456,1.3618108369898774
2018-09-02,48907783.074039206,1.3618108369898774
2018-09-03,47319325.1622328,1.3618108369898774
2018-09-04,45730867.2504264,1.426252035042448
2018-09-05,44142409.33862,1.426252035042448
2018-09-06,47325553.17337532,1.426252035042448
2018-09-07,50508697.008130655,1.426252035042448
2018-09-08,53691840.84288598,1.2695908499719666
2018-09-09,56874984.6776413,1.2695908499719666
2018-09-10,55566511.1037692,1.2695908499719666
2018-09-11,54258037.5298971,1.2695908499719666
2018-09-12,52949563.956025004,1.2398858831129995
2018-09-13,51641090.3821529,1.2398858831129995
2018-09-14,50507079.95146373,1.2398858831129995
2018-09-15,49373069.52077455,1.2820335559820926
2018-09-16,48239059.09008537,1.2820335559820926
2018-09-17,47105048.6593962,1.2820335559820926
2018-09-18,48128922.46401177,1.2820335559820926
2018-09-19,49152796.268627346,1.2403098920059894
2018-09-20,50176670.073242925,1.2403098920059894
2018-09-21,51200543.8778585,1.2403098920059894
2018-09-22,53422789.70589057,1.2403098920059894
2018-09-23,55645035.53392265,1.3323626449182595
2018-09-24,57867281.36195473,1.3323626449182595
2018-09-25,60089527.1899868,1.3323626449182595
2018-09-26,58578400.026925,1.2744154755912347
2018-09-27,57067272.8638632,1.2744154755912347
2018-09-28,55556145.7008014,1.2744154755912347
2018-09-29,54045018.5377396,1.2744154755912347
2018-09-30,53422789.705890626,1.3051940181517174
2018-10-01,52800560.87404165,1.3051940181517174
2018-10-02,52178332.042192675,1.3051940181517174
2018-10-03,51556103.2103437,1.3051940181517174
2018-10-04,51822969.2140462,1.3001966984500133
2018-10-05,52089835.2177487,1.3001966984500133
2018-10-06,52356701.2214512,1.3001966984500133
2018-10-07,52623567.2251537,1.3001966984500133
2018-10-08,54198568.35689245,1.3054557025661293
2018-10-09,55773569.488631204,1.3054557025661293
2018-10-10,57348570.62036995,1.3054557025661293
2018-10-11,58923571.7521087,1.2990966190958524
2018-10-12,59201513.1282979,1.2990966190958524
2018-10-13,59479454.5044871,1.2990966190958524
2018-10-14,59757395.8806763,1.2990966190958524
2018-10-15,60035337.2568655,1.2444532254874745
2018-10-16,57702187.0885153,1.2444532254874745
2018-10-17,55369036.9201651,1.2444532254874745
2018-10-18,53035886.7518149,1.2444532254874745
2018-10-19,50702736.5834647,1.2908062149710204
2018-10-20,51773921.1591717,1.2908062149710204
2018-10-21,52845105.734878704,1.2908062149710204
2018-10-22,53916290.3105857,1.2908062149710204
2018-10-23,54987474.8862927,1.293807618492621
2018-10-24,53380698.0227322,1.293807618492621
2018-10-25,51773921.1591717,1.293807618492621
2018-10-26,50167144.2956112,1.293807618492621
2018-10-27,48560367.4320507,1.2920591709943827
2018-10-28,50970532.72739145,1.2920591709943827
2018-10-29,53380698.0227322,1.2920591709943827
2018-10-30,55790863.318072945,1.2920591709943827
2018-10-31,58201028.6134137,1.2718405733822291
2018-11-01,54722071.37179525,1.2718405733822291
2018-11-02,51243114.1301768,1.2718405733822291
2018-11-03,47764156.88855835,1.28487938442305
2018-11-04,44285199.6469399,1.28487938442305
2018-11-05,44017345.61681728,1.28487938442305
2018-11-06,43749491.58669465,1.28487938442305
2018-11-07,43481637.55657202,1.296416853351361
2018-11-08,43213783.5264494,1.296416853351361
2018-11-09,44910192.38389265,1.296416853351361
2018-11-10,46606601.2413359,1.296416853351361
2018-11-11,48303010.09877915,1.2862380995312677
2018-11-12,49999418.9562224,1.2862380995312677
2018-11-13,48736232.87544525,1.2862380995312677
2018-11-14,47473046.7946681,1.2862380995312677
2018-11-15,46209860.713890955,1.2289241262970132
2018-11-16,44946674.6331138,1.2289241262970132
2018-11-17,44624343.246704824,1.2289241262970132
2018-11-18,44302011.86029585,1.2289241262970132
2018-11-19,43979680.47388688,1.2289241262970132
2018-11-20,43657349.0874779,1.1331201724008373
2018-11-21,44566877.19346702,1.1331201724008373
2018-11-22,45476405.29945615,1.1331201724008373
2018-11-23,46385933.40544528,1.1331201724008373
2018-11-24,47295461.5114344,0.9013035895590792
2018-11-25,45228352.17964095,0.9013035895590792
2018-11-26,43161242.8478475,0.9013035895590792
2018-11-27,41094133.51605405,0.9013035895590792
2018-11-28,39027024.1842606,0.7778160610353474
2018-11-29,38696286.69117365,0.7778160610353474
2018-11-30,38365549.1980867,0.7778160610353474
2018-12-01,38034811.70499975,0.7778160610353474
